SN,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,,,2.0,37.0,27.0,33.0,65.0,73.0,62.0,24.0,22.0,13.0,10.0,20.0,10.0,7.0,32.0,22.0,23.0,32.0,26.0,12.0,20.0,29.0,7.0,7.0,10.0,8.0,10.0,27.0,23.0,23.0,19.0,15.0,9.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,,,,1.0,22.0,60.0,168.0,222.0,142.0,68.0,61.0,48.0,29.0,42.0,54.0,33.0,103.0,87.0,94.0,132.0,87.0,75.0,70.0,51.0,29.0,21.0,34.0,39.0,43.0,51.0,65.0,94.0,87.0,50.0,22.0,22.0,11.0,14.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,,,,,0.0,15.0,63.0,168.0,105.0,62.0,44.0,45.0,21.0,37.0,41.0,22.0,44.0,55.0,65.0,96.0,70.0,40.0,39.0,32.0,30.0,17.0,32.0,32.0,23.0,35.0,44.0,71.0,70.0,33.0,27.0,17.0,20.0,21.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,,,,,,0.0,35.0,251.0,211.0,103.0,102.0,80.0,38.0,63.0,65.0,78.0,174.0,134.0,169.0,235.0,171.0,134.0,92.0,57.0,35.0,30.0,57.0,62.0,74.0,110.0,142.0,174.0,127.0,69.0,58.0,59.0,27.0,29.0,52.0,48.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,,,,,,,1.0,79.0,187.0,163.0,132.0,134.0,68.0,90.0,119.0,137.0,329.0,278.0,391.0,387.0,347.0,219.0,166.0,116.0,108.0,68.0,134.0,95.0,139.0,179.0,218.0,318.0,236.0,135.0,105.0,101.0,63.0,71.0,87.0,96.0,104.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,,,,,,,,1.0,18.0,53.0,99.0,65.0,40.0,53.0,97.0,128.0,234.0,311.0,406.0,422.0,401.0,239.0,214.0,160.0,109.0,80.0,137.0,125.0,142.0,207.0,295.0,419.0,336.0,174.0,120.0,94.0,57.0,67.0,81.0,103.0,114.0,117.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,,,,,,,,,0.0,30.0,63.0,91.0,47.0,100.0,104.0,171.0,368.0,354.0,540.0,534.0,435.0,232.0,194.0,150.0,92.0,50.0,149.0,144.0,164.0,227.0,373.0,402.0,334.0,172.0,114.0,134.0,62.0,109.0,86.0,115.0,110.0,144.0,190.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,,,,,,,,,,0.0,4.0,25.0,24.0,80.0,79.0,122.0,193.0,214.0,252.0,244.0,203.0,96.0,111.0,134.0,81.0,50.0,103.0,72.0,100.0,113.0,164.0,172.0,157.0,108.0,104.0,78.0,52.0,63.0,54.0,73.0,83.0,82.0,94.0,78.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB,,,,,,,,,,,0.0,15.0,25.0,80.0,104.0,129.0,204.0,186.0,296.0,350.0,281.0,136.0,112.0,85.0,52.0,36.0,103.0,81.0,94.0,165.0,178.0,211.0,166.0,106.0,73.0,52.0,33.0,40.0,56.0,83.0,74.0,91.0,93.0,92.0,90.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,,,,,,,,,,,,2.0,2.0,52.0,89.0,117.0,240.0,235.0,322.0,380.0,246.0,128.0,101.0,73.0,54.0,35.0,78.0,107.0,132.0,174.0,233.0,297.0,220.0,121.0,85.0,70.0,37.0,39.0,63.0,73.0,91.0,82.0,106.0,115.0,106.0,62.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,,,,,,,,,,,,,0.0,9.0,63.0,84.0,193.0,167.0,255.0,288.0,229.0,127.0,84.0,63.0,40.0,22.0,72.0,85.0,84.0,143.0,152.0,233.0,182.0,84.0,70.0,53.0,26.0,49.0,44.0,68.0,70.0,89.0,103.0,90.0,78.0,55.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,,,,,,,,,,,,,,0.0,16.0,33.0,90.0,75.0,164.0,204.0,181.0,70.0,59.0,43.0,25.0,18.0,53.0,52.0,64.0,111.0,105.0,163.0,126.0,54.0,48.0,44.0,20.0,16.0,41.0,46.0,54.0,69.0,86.0,85.0,66.0,49.0,29.0,24.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,2.0,18.0,67.0,131.0,218.0,291.0,257.0,131.0,70.0,57.0,26.0,24.0,68.0,138.0,132.0,177.0,280.0,338.0,258.0,106.0,67.0,69.0,66.0,77.0,97.0,112.0,82.0,97.0,166.0,135.0,138.0,67.0,49.0,42.0,37.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,,2.0,4.0,12.0,53.0,78.0,74.0,49.0,26.0,25.0,22.0,6.0,29.0,36.0,41.0,64.0,73.0,68.0,60.0,37.0,18.0,29.0,11.0,8.0,13.0,17.0,17.0,20.0,36.0,16.0,27.0,16.0,11.0,7.0,11.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,,,,,,,,,,,,,,,,,0.0,3.0,41.0,97.0,77.0,39.0,34.0,17.0,17.0,16.0,50.0,38.0,35.0,43.0,59.0,57.0,50.0,30.0,25.0,24.0,19.0,9.0,16.0,24.0,32.0,34.0,24.0,22.0,32.0,20.0,17.0,10.0,12.0,8.0,15.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,,,,,,,,,,,,,,,,,,0.0,14.0,52.0,78.0,87.0,70.0,38.0,45.0,23.0,45.0,39.0,53.0,85.0,115.0,103.0,81.0,86.0,59.0,46.0,39.0,32.0,34.0,29.0,59.0,52.0,44.0,40.0,44.0,33.0,33.0,19.0,20.0,26.0,21.0,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,,,,,,,,,,,,,,,,,,,0.0,40.0,63.0,58.0,45.0,49.0,28.0,29.0,62.0,66.0,58.0,71.0,98.0,86.0,69.0,72.0,43.0,63.0,43.0,40.0,64.0,41.0,58.0,47.0,33.0,36.0,53.0,32.0,27.0,23.0,21.0,21.0,30.0,32.0,12.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,24.0,28.0,24.0,15.0,39.0,43.0,30.0,26.0,60.0,69.0,30.0,59.0,77.0,40.0,44.0,26.0,33.0,29.0,34.0,33.0,26.0,23.0,14.0,18.0,23.0,17.0,30.0,25.0,10.0,11.0,13.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,,,,,,,,,,,,,,,,,,,,,0.0,7.0,24.0,20.0,19.0,10.0,39.0,33.0,33.0,28.0,73.0,60.0,46.0,56.0,34.0,53.0,33.0,32.0,33.0,25.0,33.0,25.0,30.0,28.0,20.0,18.0,18.0,16.0,19.0,11.0,10.0,9.0,14.0,12.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,17.0,15.0,9.0,21.0,21.0,36.0,26.0,41.0,34.0,32.0,22.0,23.0,20.0,16.0,13.0,14.0,10.0,17.0,18.0,17.0,21.0,15.0,12.0,7.0,7.0,3.0,5.0,5.0,4.0,8.0,5.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11.0,1.0,14.0,12.0,21.0,14.0,33.0,27.0,29.0,18.0,16.0,27.0,13.0,22.0,12.0,10.0,17.0,8.0,15.0,9.0,17.0,6.0,10.0,5.0,5.0,4.0,5.0,5.0,7.0,13.0,5.0,7.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,5.0,11.0,18.0,18.0,23.0,21.0,28.0,17.0,27.0,27.0,13.0,9.0,5.0,9.0,12.0,5.0,7.0,13.0,11.0,8.0,0.0,5.0,8.0,2.0,4.0,2.0,5.0,4.0,6.0,7.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,11.0,19.0,14.0,18.0,21.0,23.0,11.0,18.0,25.0,9.0,10.0,6.0,11.0,10.0,15.0,14.0,23.0,8.0,5.0,3.0,9.0,5.0,4.0,6.0,5.0,3.0,8.0,7.0,4.0,2.0,7.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,7.0,12.0,18.0,13.0,13.0,6.0,7.0,6.0,3.0,6.0,6.0,8.0,6.0,14.0,4.0,7.0,7.0,7.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0,14.0,22.0,24.0,25.0,16.0,6.0,8.0,1.0,7.0,5.0,18.0,8.0,13.0,18.0,11.0,11.0,13.0,2.0,1.0,6.0,3.0,11.0,4.0,4.0,14.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,11.0,8.0,9.0,11.0,6.0,5.0,6.0,12.0,6.0,8.0,5.0,3.0,7.0,7.0,8.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,5.0,7.0,12.0,8.0,9.0,13.0,19.0,11.0,6.0,14.0,15.0,10.0,7.0,7.0,9.0,7.0,1.0,3.0,3.0,2.0,0.0,5.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,11.0,9.0,7.0,7.0,14.0,10.0,6.0,7.0,7.0,10.0,7.0,15.0,7.0,7.0,8.0,5.0,4.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,5.0,6.0,5.0,8.0,3.0,4.0,1.0,4.0,3.0,6.0,9.0,7.0,6.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,5.0,4.0,7.0,2.0,2.0,13.0,3.0,8.0,8.0,9.0,6.0,5.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
D9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,3.0,0.0,3.0,2.0,4.0,6.0,2.0,0.0,5.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,4.0,8.0,7.0,10.0,3.0,12.0,7.0,4.0,0.0,1.0,2.0,0.0,2.0,5.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
