SN,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
C1,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,,,0.0,2.0,14.0,20.0,36.0,57.0,54.0,30.0,20.0,12.0,9.0,6.0,19.0,22.0,22.0,36.0,39.0,30.0,33.0,12.0,16.0,8.0,3.0,6.0,10.0,12.0,13.0,11.0,9.0,18.0,15.0,3.0,10.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,,,,0.0,1.0,38.0,85.0,101.0,93.0,32.0,30.0,24.0,10.0,8.0,25.0,35.0,29.0,50.0,58.0,61.0,56.0,33.0,20.0,16.0,3.0,7.0,9.0,23.0,15.0,23.0,24.0,27.0,21.0,13.0,10.0,5.0,9.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,,,,,0.0,4.0,237.0,322.0,282.0,118.0,95.0,49.0,43.0,30.0,66.0,55.0,56.0,81.0,101.0,122.0,81.0,47.0,50.0,43.0,14.0,24.0,33.0,38.0,26.0,33.0,35.0,29.0,37.0,29.0,15.0,16.0,13.0,3.0,19.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,,,,,,0.0,16.0,93.0,86.0,46.0,42.0,38.0,35.0,26.0,46.0,37.0,45.0,63.0,56.0,77.0,64.0,40.0,38.0,39.0,15.0,24.0,24.0,21.0,30.0,25.0,34.0,29.0,35.0,33.0,14.0,7.0,8.0,6.0,16.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,,,,,,,0.0,31.0,94.0,80.0,95.0,80.0,72.0,46.0,91.0,99.0,75.0,85.0,95.0,122.0,96.0,95.0,88.0,138.0,68.0,81.0,77.0,55.0,63.0,50.0,61.0,55.0,38.0,40.0,28.0,25.0,21.0,30.0,37.0,23.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,,,,,,,,0.0,41.0,86.0,89.0,92.0,73.0,58.0,102.0,120.0,100.0,95.0,130.0,186.0,129.0,99.0,88.0,106.0,59.0,73.0,51.0,51.0,69.0,55.0,74.0,66.0,46.0,42.0,25.0,30.0,22.0,27.0,35.0,28.0,23.0,36.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,,,,,,,,,0.0,26.0,61.0,107.0,79.0,59.0,118.0,155.0,128.0,171.0,200.0,220.0,166.0,118.0,101.0,160.0,64.0,99.0,84.0,76.0,96.0,83.0,85.0,65.0,62.0,55.0,44.0,21.0,35.0,27.0,33.0,23.0,25.0,37.0,41.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,0.0,7.0,35.0,52.0,39.0,82.0,82.0,101.0,122.0,165.0,176.0,144.0,91.0,69.0,89.0,44.0,54.0,40.0,69.0,47.0,71.0,93.0,67.0,70.0,38.0,25.0,17.0,22.0,11.0,17.0,15.0,35.0,31.0,34.0,34.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,,,,,,,,,,0.0,11.0,44.0,27.0,55.0,78.0,112.0,139.0,158.0,216.0,164.0,89.0,65.0,86.0,40.0,51.0,59.0,76.0,58.0,58.0,81.0,57.0,67.0,42.0,32.0,26.0,24.0,12.0,20.0,22.0,31.0,35.0,21.0,20.0,28.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,,0.0,12.0,13.0,32.0,26.0,39.0,89.0,98.0,146.0,99.0,73.0,49.0,70.0,35.0,57.0,56.0,58.0,52.0,58.0,54.0,43.0,40.0,32.0,17.0,20.0,8.0,14.0,27.0,21.0,14.0,19.0,25.0,32.0,22.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,0.0,4.0,32.0,58.0,76.0,93.0,119.0,162.0,128.0,65.0,58.0,73.0,29.0,43.0,51.0,48.0,47.0,59.0,69.0,60.0,52.0,46.0,32.0,21.0,19.0,14.0,25.0,32.0,24.0,25.0,33.0,31.0,27.0,20.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,0.0,2.0,21.0,41.0,50.0,68.0,73.0,63.0,44.0,29.0,36.0,18.0,16.0,20.0,26.0,18.0,33.0,32.0,29.0,24.0,13.0,4.0,13.0,9.0,7.0,15.0,13.0,8.0,18.0,10.0,15.0,16.0,13.0,6.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,0.0,3.0,16.0,26.0,35.0,35.0,23.0,24.0,16.0,15.0,6.0,14.0,18.0,22.0,26.0,10.0,18.0,24.0,18.0,8.0,5.0,6.0,8.0,2.0,14.0,3.0,10.0,9.0,14.0,8.0,12.0,9.0,7.0,10.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,0.0,6.0,15.0,18.0,45.0,35.0,23.0,25.0,23.0,20.0,11.0,11.0,14.0,9.0,11.0,17.0,17.0,10.0,0.0,8.0,7.0,7.0,5.0,12.0,7.0,9.0,5.0,3.0,14.0,12.0,6.0,6.0,11.0,9.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,,,,,,,,,,,,,,,,,0.0,8.0,28.0,40.0,36.0,23.0,45.0,35.0,36.0,19.0,23.0,30.0,22.0,31.0,32.0,22.0,24.0,16.0,16.0,7.0,7.0,11.0,19.0,12.0,15.0,15.0,17.0,12.0,14.0,16.0,10.0,6.0,8.0,3.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,,,,,,,,,,,,,,,,,,0.0,10.0,26.0,64.0,59.0,74.0,53.0,24.0,61.0,44.0,59.0,40.0,46.0,46.0,40.0,33.0,26.0,31.0,11.0,19.0,22.0,21.0,12.0,11.0,21.0,15.0,13.0,21.0,24.0,16.0,11.0,15.0,3.0,14.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
D7,,,,,,,,,,,,,,,,,,,0.0,7.0,33.0,60.0,57.0,58.0,25.0,33.0,34.0,39.0,37.0,34.0,51.0,37.0,32.0,17.0,27.0,14.0,16.0,11.0,18.0,10.0,10.0,12.0,13.0,18.0,12.0,20.0,14.0,10.0,8.0,5.0,13.0,6.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,,,,,,,,,,,,,,,,,,0.0,11.0,27.0,51.0,49.0,27.0,38.0,47.0,60.0,52.0,42.0,39.0,43.0,34.0,26.0,26.0,21.0,16.0,17.0,28.0,17.0,9.0,26.0,20.0,12.0,32.0,24.0,21.0,7.0,9.0,6.0,10.0,6.0,12.0,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
D9,,,,,,,,,,,,,,,,,,,,,0.0,10.0,32.0,55.0,25.0,45.0,30.0,29.0,33.0,36.0,31.0,50.0,24.0,16.0,22.0,14.0,15.0,3.0,14.0,13.0,11.0,21.0,13.0,19.0,13.0,24.0,15.0,12.0,9.0,11.0,12.0,16.0,10.0,7.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,
DA,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,32.0,25.0,17.0,32.0,40.0,40.0,36.0,44.0,28.0,18.0,26.0,14.0,12.0,5.0,7.0,17.0,9.0,12.0,13.0,14.0,11.0,11.0,16.0,11.0,7.0,11.0,7.0,12.0,10.0,6.0,14.0,3.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,
DB,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,14.0,12.0,26.0,35.0,46.0,32.0,40.0,50.0,34.0,21.0,13.0,12.0,9.0,9.0,23.0,17.0,17.0,17.0,19.0,19.0,20.0,14.0,13.0,12.0,6.0,9.0,12.0,10.0,14.0,7.0,11.0,16.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,7.0,28.0,29.0,28.0,27.0,24.0,23.0,29.0,14.0,15.0,10.0,9.0,9.0,15.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,14.0,8.0,2.0,5.0,3.0,4.0,6.0,7.0,5.0,7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,10.0,31.0,41.0,36.0,38.0,26.0,27.0,23.0,19.0,11.0,15.0,10.0,13.0,11.0,19.0,21.0,14.0,15.0,17.0,12.0,11.0,11.0,10.0,7.0,13.0,9.0,6.0,8.0,10.0,12.0,7.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,15.0,26.0,24.0,32.0,28.0,24.0,17.0,9.0,5.0,8.0,9.0,11.0,12.0,4.0,10.0,11.0,6.0,5.0,9.0,11.0,7.0,8.0,5.0,7.0,1.0,5.0,7.0,3.0,6.0,1.0,2.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,25.0,25.0,40.0,34.0,26.0,17.0,7.0,15.0,7.0,23.0,14.0,8.0,10.0,9.0,9.0,10.0,7.0,7.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,2.0,6.0,7.0,2.0,0.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,
E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,23.0,55.0,35.0,30.0,23.0,15.0,17.0,18.0,18.0,25.0,11.0,13.0,25.0,13.0,14.0,11.0,7.0,3.0,7.0,5.0,3.0,5.0,6.0,9.0,5.0,4.0,0.0,3.0,6.0,1.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,10.0,5.0,11.0,10.0,11.0,7.0,5.0,6.0,11.0,5.0,6.0,6.0,3.0,6.0,7.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,5.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,
E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,10.0,13.0,18.0,8.0,4.0,13.0,6.0,7.0,4.0,7.0,10.0,6.0,8.0,7.0,8.0,4.0,5.0,0.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,
E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,37.0,24.0,28.0,25.0,22.0,24.0,32.0,14.0,12.0,24.0,20.0,10.0,15.0,8.0,11.0,8.0,8.0,3.0,11.0,3.0,7.0,10.0,7.0,3.0,6.0,8.0,9.0,3.0,3.0,3.0,5.0,2.0,7.0,9.0,,,,,,,,,,,,
E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,15.0,15.0,17.0,11.0,11.0,11.0,13.0,9.0,18.0,15.0,10.0,17.0,10.0,8.0,3.0,1.0,2.0,7.0,4.0,6.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,1.0,,,,,,,,,,,
E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,6.0,14.0,11.0,11.0,13.0,23.0,16.0,24.0,23.0,15.0,11.0,11.0,6.0,8.0,4.0,6.0,4.0,1.0,6.0,4.0,7.0,4.0,9.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,,,,,,,,,,
EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,5.0,12.0,17.0,14.0,16.0,14.0,16.0,11.0,8.0,15.0,7.0,4.0,3.0,4.0,7.0,3.0,6.0,6.0,5.0,2.0,2.0,0.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,,,,,,,,,
EB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,6.0,13.0,17.0,16.0,16.0,10.0,10.0,11.0,9.0,7.0,15.0,5.0,10.0,6.0,2.0,5.0,3.0,4.0,10.0,5.0,1.0,3.0,2.0,0.0,2.0,5.0,1.0,4.0,4.0,7.0,2.0,4.0,4.0,,,,,,,,
EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.0,18.0,6.0,11.0,4.0,12.0,16.0,7.0,7.0,10.0,3.0,2.0,4.0,9.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,2.0,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,6.0,4.0,14.0,13.0,10.0,14.0,12.0,14.0,7.0,5.0,3.0,2.0,6.0,4.0,3.0,1.0,0.0,5.0,3.0,4.0,5.0,0.0,3.0,1.0,4.0,2.0,4.0,5.0,10.0,3.0,4.0,0.0,2.0,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,4.0,7.0,3.0,5.0,2.0,8.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,
F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,4.0,6.0,4.0,9.0,6.0,7.0,4.0,9.0,6.0,4.0,3.0,3.0,2.0,3.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,,,,
F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,5.0,7.0,6.0,10.0,12.0,5.0,7.0,4.0,12.0,2.0,4.0,4.0,7.0,3.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,
F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,8.0,12.0,6.0,4.0,6.0,4.0,1.0,11.0,9.0,1.0,2.0,6.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,,
F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,3.0,4.0,9.0,8.0,6.0,1.0,12.0,13.0,8.0,7.0,9.0,8.0,6.0,5.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,6.0,9.0,7.0,3.0,8.0,5.0,5.0,9.0,5.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,7.0,8.0,7.0,10.0,7.0,11.0,6.0,10.0,12.0,7.0,8.0,8.0,8.0,9.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0
F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,5.0,6.0,3.0,7.0,1.0,2.0,2.0,8.0,4.0,10.0,2.0,11.0,0.0,4.0,3.0,5.0,10.0,4.0,0.0,5.0,4.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,4.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,3.0,3.0,6.0,5.0,4.0,1.0,4.0,4.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,6.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
G8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0
H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
H6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
H8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
J2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
J3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
J4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
J5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
J6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
